architecture,regime,seed,dataset,alpha_train,alpha_test,acc,loss
mlp_small,noisy,2,cifar10,0.5,0.1,0.47388,1.4762683515930175
mlp_small,noisy,2,cifar10,0.5,0.2,0.4711,1.4818395827102662
mlp_medium,clean,0,cifar10,0.5,0.0,0.5039,1.3860213151931762
mlp_medium,clean,0,cifar10,0.5,0.01,0.5043599999999999,1.3860107677459717
mlp_medium,clean,0,cifar10,0.5,0.02,0.5038600000000001,1.3861299479293823
mlp_medium,clean,0,cifar10,0.5,0.05,0.50376,1.3869250050354005
mlp_medium,clean,0,cifar10,0.5,0.1,0.50274,1.3890939404678346
mlp_medium,clean,0,cifar10,0.5,0.2,0.49901999999999996,1.3968392118835449
mlp_medium,clean,1,cifar10,0.5,0.0,0.5013,1.402734460258484
mlp_medium,clean,1,cifar10,0.5,0.01,0.50196,1.402381428413391
mlp_medium,clean,1,cifar10,0.5,0.02,0.50176,1.4035355776977538
mlp_medium,clean,1,cifar10,0.5,0.05,0.5021000000000001,1.4025698136901856
mlp_medium,clean,1,cifar10,0.5,0.1,0.49985999999999997,1.4103612559509278
mlp_medium,clean,1,cifar10,0.5,0.2,0.49752,1.4175473274993897
mlp_medium,clean,2,cifar10,0.5,0.0,0.504,1.3900575960159303
mlp_medium,clean,2,cifar10,0.5,0.01,0.5043200000000001,1.3902202186965942
mlp_medium,clean,2,cifar10,0.5,0.02,0.50424,1.3905208512496947
mlp_medium,clean,2,cifar10,0.5,0.05,0.50454,1.3914310195159911
mlp_medium,clean,2,cifar10,0.5,0.1,0.50378,1.3922913479995729
mlp_medium,clean,2,cifar10,0.5,0.2,0.5022800000000001,1.399488676185608
mlp_medium,noisy,0,cifar10,0.5,0.0,0.4976,1.4403785146713257
mlp_medium,noisy,0,cifar10,0.5,0.01,0.49756,1.4403837285232544
mlp_medium,noisy,0,cifar10,0.5,0.02,0.49792,1.440077776298523
mlp_medium,noisy,0,cifar10,0.5,0.05,0.49654,1.4409002534866333
mlp_medium,noisy,0,cifar10,0.5,0.1,0.49546,1.443229765701294
mlp_medium,noisy,0,cifar10,0.5,0.2,0.49420000000000003,1.4457877688217162
mlp_medium,noisy,1,cifar10,0.5,0.0,0.4825,1.4494446619033814
mlp_medium,noisy,1,cifar10,0.5,0.01,0.48238000000000003,1.4493724368286134
mlp_medium,noisy,1,cifar10,0.5,0.02,0.48254,1.4495044324111939
mlp_medium,noisy,1,cifar10,0.5,0.05,0.48206,1.4497641283035279
mlp_medium,noisy,1,cifar10,0.5,0.1,0.48125999999999997,1.4523351653289795
mlp_medium,noisy,1,cifar10,0.5,0.2,0.48062000000000005,1.4563263649368285
mlp_medium,noisy,2,cifar10,0.5,0.0,0.4923,1.4267114128112792
mlp_medium,noisy,2,cifar10,0.5,0.01,0.49228000000000005,1.4268062935256958
mlp_medium,noisy,2,cifar10,0.5,0.02,0.49193999999999993,1.4269028354263305
mlp_medium,noisy,2,cifar10,0.5,0.05,0.491,1.4274988311386108
mlp_medium,noisy,2,cifar10,0.5,0.1,0.49218,1.4276428472137452
mlp_medium,noisy,2,cifar10,0.5,0.2,0.48856,1.434049320487976
mlp_large,clean,0,cifar10,0.5,0.0,0.5057,1.3954126848220825
